vc	V(vout)	d(V(Vout))
2.600000000000002e-01	2.500000e+00	0.000000e+00
2.610000000000002e-01	2.500000e+00	0.000000e+00
2.620000000000002e-01	2.500000e+00	0.000000e+00
2.630000000000002e-01	2.500000e+00	0.000000e+00
2.640000000000002e-01	2.500000e+00	0.000000e+00
2.650000000000002e-01	2.500000e+00	0.000000e+00
2.660000000000002e-01	2.500000e+00	0.000000e+00
2.670000000000002e-01	2.500000e+00	0.000000e+00
2.680000000000002e-01	2.500000e+00	0.000000e+00
2.690000000000002e-01	2.500000e+00	0.000000e+00
2.700000000000002e-01	2.500000e+00	0.000000e+00
2.710000000000002e-01	2.500000e+00	0.000000e+00
2.720000000000002e-01	2.500000e+00	0.000000e+00
2.730000000000002e-01	2.500000e+00	0.000000e+00
2.740000000000002e-01	2.500000e+00	0.000000e+00
2.750000000000002e-01	2.500000e+00	0.000000e+00
2.760000000000002e-01	2.500000e+00	0.000000e+00
2.770000000000002e-01	2.500000e+00	0.000000e+00
2.780000000000002e-01	2.500000e+00	0.000000e+00
2.790000000000002e-01	2.500000e+00	0.000000e+00
2.800000000000002e-01	2.500000e+00	0.000000e+00
2.810000000000002e-01	2.500000e+00	0.000000e+00
2.820000000000002e-01	2.500000e+00	0.000000e+00
2.830000000000002e-01	2.500000e+00	0.000000e+00
2.840000000000002e-01	2.500000e+00	0.000000e+00
2.850000000000002e-01	2.500000e+00	0.000000e+00
2.860000000000002e-01	2.500000e+00	0.000000e+00
2.870000000000002e-01	2.500000e+00	0.000000e+00
2.880000000000002e-01	2.500000e+00	0.000000e+00
2.890000000000002e-01	2.500000e+00	0.000000e+00
2.900000000000002e-01	2.500000e+00	0.000000e+00
2.910000000000002e-01	2.500000e+00	0.000000e+00
2.920000000000002e-01	2.500000e+00	0.000000e+00
2.930000000000002e-01	2.500000e+00	0.000000e+00
2.940000000000002e-01	2.500000e+00	0.000000e+00
2.950000000000002e-01	2.500000e+00	0.000000e+00
2.960000000000002e-01	2.500000e+00	0.000000e+00
2.970000000000002e-01	2.500000e+00	0.000000e+00
2.980000000000002e-01	2.500000e+00	0.000000e+00
2.990000000000002e-01	2.500000e+00	0.000000e+00
3.000000000000002e-01	2.500000e+00	0.000000e+00
3.010000000000002e-01	2.500000e+00	0.000000e+00
3.020000000000002e-01	2.500000e+00	0.000000e+00
3.030000000000002e-01	2.500000e+00	0.000000e+00
3.040000000000002e-01	2.500000e+00	0.000000e+00
3.050000000000002e-01	2.500000e+00	0.000000e+00
3.060000000000002e-01	2.500000e+00	0.000000e+00
3.070000000000002e-01	2.500000e+00	0.000000e+00
3.080000000000002e-01	2.500000e+00	0.000000e+00
3.090000000000002e-01	2.500000e+00	0.000000e+00
3.100000000000002e-01	2.500000e+00	0.000000e+00
3.110000000000002e-01	2.500000e+00	0.000000e+00
3.120000000000002e-01	2.500000e+00	0.000000e+00
